charge,othername,casno,unikey,expose
0,1-Methyltetrazole,16681779,122,1
0,1-Methylurea,598505,123,1
0,1-n-Hexene,592416,124,1
0,1-Oxa-2-azacyclopentadiene,288142,125,1
0,1-Oxacyclopentan-2-one,96480,126,1
0,1-Pentanethiol,110667,127,1
0,1-Pentanol,71410,128,1
0,1-Pentyl alcohol,71410,129,1
0,1-Propanal,123386,130,1
0,1-Propanamine,107108,131,1
0,"1-Propanamine, 2-methyl-",78819,132,1
0,1-Propanethiol,107039,133,1
0,"1-Propanethiol, 2,2-dimethyl-",1679089,134,1
0,"1-Propanethiol, 2-methyl-",513440,135,1
0,1-Propanethoil,107039,136,1
0,1-Propanol,71238,137,1
0,"1-Propanol, 2-methyl-",78831,138,1
0,1-Propanone,123386,139,1
0,1-Propen-3-ol,107186,140,1
0,1-Propene,115071,141,1
0,"1-Propene, 2-methoxy-",116110,142,1
0,"1-Propene, 2-methyl-",115117,143,1
0,1-Propenol-3,107186,144,1
0,1-Propyl alcohol,71238,145,1
0,1-Propyl mercaptan,107039,146,1
0,"1-Propyl radical, 2-methyl-",4630459,147,1
0,1-Propylamine,107108,148,1
0,1-Propylene,115071,149,1
0,1-Propyne,74997,150,1
0,"2(3H)-Furanone, dihydro-",96480,151,1
0,"2(3H)-Thiophenone, dihydro-",1003107,152,1
0,2-(Chloromethyl)oxirane,106898,153,1
0,2-(E)-C5H10,646048,154,1
0,2-(Ethylthio)propane,5145993,155,1
0,2-(Hydroxymethyl)ethanol,504632,156,1
0,2-(Methylthio)propane,1551219,157,1
0,2-(Z)-C5H10,627203,158,1
0,"2,2-Dichloropropane",594207,159,1
0,"2,2-Dimethyl-1-propanethiol",1679089,160,1
0,"2,2-Dimethylbutane",75832,161,1
0,"2,2-Dimethylpropane",463821,162,1
0,"2,2-Dimethylpropanenitrile",630182,163,1
0,"2,2-Dimethylpropionitrile",630182,164,1
0,"2,3,4-Hexatriene, (E)-",59660650,165,1
0,"2,3-Butadione",431038,166,1
0,"2,3-Butanedione",431038,167,1
0,"2,3-Dihydro-4H-pyran",110872,168,1
0,.+/-.-2-Butanol,15892236,169,1
0,[6]Annulene,71432,170,1
0,"&alpha;,&beta;-Dichloroethane",107062,171,1
0,"&alpha;,&beta;-dichloropropane",78875,172,1
0,"&alpha;,&beta;-Dimethoxyethane",110714,173,1
0,"&alpha;,&beta;-Oxidoethane",75218,174,1
0,"&alpha;,&beta;-Propylene dichloride",78875,175,1
0,"&alpha;,&eta;-amylene",513359,176,1
0,"&alpha;,&gamma;-Butadiene",106990,177,1
0,"&alpha;,&gamma;-Propane oxide",503300,178,1
0,"&alpha;,&omega;-Hexadiene",592427,179,1
0,&alpha;-Alanine,56417,180,1
0,&alpha;-Aluminum trihydride,7784216,181,1
0,&alpha;-Aminopropionic acid,56417,182,1
0,&alpha;-Butene,106989,183,1
0,&alpha;-Butylene,106989,184,1
0,&alpha;-Butyrolactone,96480,185,1
0,&alpha;-Chloro-&beta;-butylene,591979,186,1
0,&alpha;-Epichlorohydrin,106898,187,1
0,&alpha;-Ethylene dimercaptan,540636,188,1
0,&alpha;-Methallyl chloride,563520,189,1
0,&alpha;-Methoxy propane,557175,190,1
0,&alpha;-Methoxybutane,628284,191,1
0,&alpha;-Methyl acrylic amide,79390,192,1
0,&alpha;-Methylallyl chloride,563520,193,1
0,&alpha;-Methylpropanenitrile,78820,194,1
0,&alpha;-Methylpropionaldehyde,78842,195,1
0,&alpha;-Propylene glycol,57556,196,1
0,&alpha;-Pyrrolidinone,616455,197,1
0,&alpha;-Pyrrolidone,616455,198,1
0,&alpha;-T,71556,199,1
0,&alpha;-Trichloroethane,71556,200,1
0,"&beta;,&beta;-Dimethyltrimethylene oxide",6921353,201,1
0,&beta;-Alaminenitrile,151188,202,1
0,&beta;-Alanine,107959,203,1
0,&beta;-Alaninenitrile,151188,204,1
0,&beta;-Aminoethyl cyanide,151188,205,1
0,&beta;-Aminoethylamine,107153,206,1
0,&beta;-Aminopropionic acid,107959,207,1
0,&beta;-Aminopropionitrile,151188,208,1
0,&beta;-Butylene glycol,107880,209,1
0,&beta;-Chloroethyl ethyl ether,628342,210,1
0,&beta;-Cyanoethylamine,151188,211,1
0,&beta;-Isoamylene,513359,212,1
0,&beta;-Ketopropane,67641,213,1
0,&beta;-lactone hydracrylic acid,57578,214,1
0,&beta;-Methyl acrolein,4170303,215,1
0,&beta;-Methylbivinyl,78795,216,1
0,&beta;-Propanoic acid lactone,57578,217,1
0,&beta;-Propiolactone,57578,218,1
0,&beta;-Propiolakton,57578,219,1
0,&beta;-Propionolactone,57578,220,1
0,&beta;-Propriolactone,57578,221,1
0,&beta;-Proprolactone,57578,222,1
0,&beta;-Propylene glycol,504632,223,1
0,&beta;-Thiopseudourea,62566,224,1
0,&delta;(sup 3)-Piperidine,694053,225,1
0,&delta;(Sup2)-Dihydropyran,110872,226,1
0,&delta;2-Dihydropyran,110872,227,1
0,&delta;3-Piperidine,694053,228,1
0,&gamma;-6480,96480,229,1
0,&gamma;-aminobutyric acid lactam,616455,230,1
0,&gamma;-Aminobutyric lactam,616455,231,1
0,&gamma;-Aminobutyrolactam,616455,232,1
0,&gamma;-BL,96480,233,1
0,&gamma;-Butanolactone,96480,234,1
0,&gamma;-Butylene,115117,235,1
0,&gamma;-Butyrolactam,616455,236,1
0,&gamma;-Butyrolactone,96480,237,1
0,&gamma;-Chloro-&alpha;-butylene,563520,238,1
0,&gamma;-Chloropropylene oxide,106898,239,1
0,&gamma;-Hydroxybutyric Acid cyclic ester,96480,240,1
0,&gamma;-Hydroxybutyric acid lactone,96480,241,1
0,&gamma;-Hydroxybutyrolactone,96480,242,1
0,&gamma;-Isoamylene,563462,243,1
0,&gamma;-Methallyl chloride,591979,244,1
0,&gamma;-Methylallyl chloride,591979,245,1
0,&gamma;-Thiobutyrolactone,1003107,246,1
0,&omega;-Aminopropionic acid,107959,247,1
0,&omega;-Propanediol,504632,248,1
0,1-(Ethylthio)propane,4110503,249,1
0,1-(Methylthio)butane,628295,250,1
0,"1,1,1-TCE",71556,251,1
0,"1,1,1-Trichloorethaan",71556,252,1
0,"1,1,1-Trichloraethan",71556,253,1
0,"1,1,1-Trichloroethane",71556,254,1
0,"1,1,1-Tricloroetano",71556,255,1
0,"1,1,1-Trifluoroethane",420462,256,1
0,"1,1,1-Trifluoroform",420462,257,1
0,"1,1,1-Trimethylethane",463821,258,1
0,"1,1,2,2-Tetrachloroethene",127184,259,1
0,"1,1,2,2-Tetrachloroethylene",127184,260,1
0,"1,1,2,2-Tetrafluoroethylene",116143,261,1
0,"1,1,2,2-Tetramethylethylene",563791,262,1
0,"1,1,2-Trichloroethene",79016,263,1
0,"1,1,2-Trichloroethylene",79016,264,1
0,"1,1,2-Trimethylethane",78784,265,1
0,"1,1,2-Trimethylethylene",513359,266,1
0,"1,1-DCE",75354,267,1
0,"1,1-Dichloorethaan",75343,268,1
0,"1,1-Dichloraethan",75343,269,1
0,"1,1-Dichlorethane",75343,270,1
0,"1,1-Dichloro-2-chloroethylene",79016,271,1
0,"1,1-Dichloroethane",75343,272,1
0,"1,1-Dichloroethene",75354,273,1
0,"1,1-Dichloroethylene",75354,274,1
0,"1,1-Dicloroetano",75343,275,1
0,"1,1-Diethylethene",760214,276,1
0,"1,1-Difluoroethane",75376,277,1
0,"1,1-Difluoroethene",75387,278,1
0,"1,1-Difluoroethylene",75387,279,1
0,"1,1-Dimethoxyethane",534156,280,1
0,"1,1'-Dimethoxyetiane",534156,281,1
0,"1,1-Dimethylallene",598254,282,1
0,"1,1-Dimethylallylene",598254,283,1
0,"1,1-Dimethylcyclopropane",1630940,284,1
0,"1,1-Dimethylethane",75285,285,1
0,"1,1-Dimethylethanethiol",75661,286,1
0,"1,1-Dimethylethanol",75650,287,1
0,"1,1-Dimethylethylamine",75649,288,1
0,"1,1-Dimethylethylene",115117,289,1
0,"1,1'-Dimethylurea",96311,290,1
0,"1,1-Dimethylurea",598947,291,1
0,"1,1-Dimethyurea",598947,292,1
0,"1,1'-Oxybisethane",60297,293,1
0,"1,1'-Oxybisethene",109933,294,1
0,"1,1'-Sulphinylbisethane",70291,295,1
0,"1,1'-Thiobisethane",352932,296,1
0,"1,2,2-Trichloroethylene",79016,297,1
0,"1,2,3,6-Tetrahydropyridine",694053,298,1
0,"1,2,3-Propanetriol",56815,299,1
0,"1,2,3-Trichloropropane",96184,300,1
0,"1,2,3-Trihydroxypropane",56815,301,1
0,"1,2,4-Triazole",288880,302,1
0,"1,2,5,6-Tetrahydropyridine",694053,303,1
0,"1,2-Bichloroethane",107062,304,1
0,"1,2-Butadiene",590192,305,1
0,"1,2-Butadiene, 3-methyl-",598254,306,1
0,"1,2-Butanediamine",4426486,307,1
0,"1,2-Butanolide",96480,308,1
0,"1,2-cis-Dichloroethene",156592,309,1
0,"1,2-cis-Dichloroethylene",156592,310,1
0,"1,2-DCE",107062,311,1
0,"1,2-Diamino-2-methylpropane",811938,312,1
0,"1,2-Diaminoaethan",107153,313,1
0,"1,2-Diamino-ethaan",107153,314,1
0,"1,2-Diaminoethane",107153,315,1
0,"1,2-Diamino-ethano",107153,316,1
0,"1,2-Diaminopropane",78900,317,1
0,"1,2-Diazabenzene",289805,318,1
0,"1,2-Diazine",289805,319,1
0,"1,2-Diazole",288131,320,1
0,"1,2-Dichloorethaan",107062,321,1
0,"1,2-Dichlor-aethan",107062,322,1
0,"1,2-Dichlorethane",107062,323,1
0,"1,2-Dichlorobutane",616217,324,1
0,"1,2-Dichloroethane",107062,325,1
0,"1,2-Dichloropropane",78875,326,1
0,"1,2-Dicloroetano",107062,327,1
0,"1,2-Dicyanoacetylene",1071983,328,1
0,"1,2-Dicyanoethane",110612,329,1
0,"1,2-Dihydroxyethane",107211,330,1
0,"1,2-Dihydroxypropane",57556,331,1
0,"1,2-Dimercaptoethane",540636,332,1
0,"1,2-Dimethoxyethane",110714,333,1
0,"1,2-Epithiopropane",1072431,334,1
0,"1,2-Epoxy-3-chloropropane",106898,335,1
0,"1,2-Epoxyaethan",75218,336,1
0,"1,2-Epoxyethane",75218,337,1
0,"1,2-Epoxypropane",75569,338,1
0,"1,2-Ethandiol",107211,339,1
0,"1,2-Ethanediamine",107153,340,1
0,"1,2-Ethanediol",107211,341,1
0,"1,2-Ethanediol dimethyl ether",110714,342,1
0,"1,2-Ethanedione",107222,343,1
0,"1,2-Ethanedithiol",540636,344,1
0,"1,2-Ethanethiol",540636,345,1
0,"1,2-Ethylene dichloride",107062,346,1
0,"1,2-Ethylenediamine",107153,347,1
0,"1,2-Pentadiene",591957,348,1
0,"1,2-Propadiene",463490,349,1
0,"1,2-Propadiene-1,3-dione",504643,350,1
0,"1,2-Propanediamine",78900,351,1
0,"1,2-Propanediamine, 2-methyl-",811938,352,1
0,"1,2-Propanediol",57556,353,1
0,"1,2-Propylene Glycol",57556,354,1
0,"1,2-Propylene oxide",75569,355,1
0,"1,2-Propylenediamine",78900,356,1
0,"1,2-Propylenglykol",57556,357,1
0,"1,2-trans-Dichloroethene",156605,358,1
0,"1,2-trans-Dichloroethylene",156605,359,1
0,"1,3,5-Hexatriene, (E)-",821078,360,1
0,"1,3,5-Hexatriene, (Z)-",2612466,361,1
0,"1,3,5-Hexatriene, cis-",2612466,362,1
0,"1,3,5-Hexatriene, trans-",821078,363,1
0,"1,3,5-Triazine",290879,364,1
0,"1,3,5-Trioxacyclohexane",110883,365,1
0,"1,3,5-Trioxan",110883,366,1
0,"1,3,5-Trioxane",110883,367,1
0,"1,3-Butadiene",106990,368,1
0,1-Amino-2-methylpropane,78819,369,1
0,1-Amino-2-Thiourea,79196,370,1
0,1-Amino-butaan,109739,371,1
0,1-Aminobutan,109739,372,1
0,1-Aminobutane,109739,373,1
0,1-Aminoethane,75047,374,1
0,1-Aminopropane,107108,375,1
0,1-Aminothiourea,79196,376,1
0,"1-Aza-2,4-cyclopentadiene",109977,377,1
0,1-Butanamine,109739,378,1
0,1-Butanaminen-butilamina,109739,379,1
0,"1-Butanethiol, 2-methyl-",1878188,380,1
0,"1-Butanethiol, 3-methyl-",541311,381,1
0,1-Butanol,71363,382,1
0,"1-Butanol, 2-methyl-",137326,383,1
0,"1-Butanol, 3-methyl-",123513,384,1
0,"1-Buten-3-yne, 2-methyl-",78808,385,1
0,1-Butene,106989,386,1
0,"1-Butene, 1-chloro-, (E)-",7611872,387,1
0,"1-Butene, 1-chloro-, (Z)-",7611861,388,1
0,"1-Butene, 2,3-dimethyl-",563780,389,1
0,"1-Butene, 2-chloro-",2211703,390,1
0,"1-Butene, 2-ethyl-",760214,391,1
0,"1-Butene, 2-methyl-",563462,392,1
0,"1-Butene, 3-chloro-",563520,393,1
0,"1-Butene, 4-chloro-",927731,394,1
0,"1-Butene-3-yne, 2-methyl-",78808,395,1
0,1-Butyl alcohol,71363,396,1
0,1-Butyl cyanide,110598,397,1
0,1-Butylamine,109739,398,1
0,1-Butylene,106989,399,1
0,1-Butyne,107006,400,1
0,"1-Butyne, 3,3-dimethyl-",917920,401,1
0,1-C4H8,106989,402,1
0,1-C6H12,592416,403,1
0,"1-Chloor-2,3-epoxy-propaan",106898,404,1
0,"1-Chlor-2,3-epoxy-propan",106898,405,1
0,1-Chloro-1-fluoroethane,1615754,406,1
0,"1-Chloro-2,2-dichloroethylene",79016,407,1
0,"1-Chloro-2,3-Epoxypropane",106898,408,1
0,1-Chloro-2-butene,591979,409,1
0,1-Chloro-2-ethoxyethane,628342,410,1
0,1-Chlorobutane,109693,411,1
0,1-Chlorofluoroethane,1615754,412,1
0,1-Chloropentane,543599,413,1
0,1-Chloropropane,540545,414,1
0,"1-Cloro-2,3-epossipropano",106898,415,1
0,1-Cyano-1-methylethane,78820,416,1
0,1-Cyanobicyclo[1.1.0]butane,16955354,417,1
0,1-Cyanobutane,110598,418,1
0,1-Cyanopropane,109740,419,1
0,1-Cyclopropylethanone,765435,420,1
0,1-Ethoxyethene,109922,421,1
0,1-Ethoxyethylene,109922,422,1
0,1-Ethoxypropane,628320,423,1
0,1-Ethylurea,625525,424,1
0,"1H-1,2,4-Triazole",288880,425,1
0,"1H-Azirine, dihydro-",151564,426,1
0,1-Hexene,592416,427,1
0,1-Hexyne,693027,428,1
0,1H-Imidazole,288324,429,1
0,"1H-Imidazole, 2-methyl-",693981,430,1
0,1H-Pyrazole,288131,431,1
0,1H-Pyrrole,109977,432,1
0,"1H-Pyrrole, 1-methyl-",96548,433,1
0,1H-Tetrazol-5-amine,4418615,434,1
0,1H-Tetrazole,288948,435,1
0,"1H-Tetrazole, 1-methyl-",16681779,436,1
0,"1H-Tetrazole, 5-amino-",4418615,437,1
0,"1H-Tetrazole, 5-methyl-",4076362,438,1
0,1-Hydroxybutane,71363,439,1
0,1-Hydroxymethylpropane,78831,440,1
0,1-Hydroxypropane,71238,441,1
0,1-Isoamylene,563462,442,1
0,1-Isobutanethiol,513440,443,1
0,"2H-3,4-Dihydropyran",110872,444,1
0,2-Hexyne,764352,445,1
0,"2H-Pyran, 3,4-dihydro-",110872,446,1
0,"2H-Pyran, tetrahydro-",142687,447,1
0,2H-Tetrazole,288948,448,1
0,"2H-Tetrazole, 2-methyl-",16681780,449,1
0,"2H-Thiete-1,1-dioxide",7285327,450,1
0,"2H-Thiopyran, tetrahydro-",1613510,451,1
0,2-Hydroxyethanol,107211,452,1
0,2-Hydroxypropane,67630,453,1
0,2-Hydroxypropanol,57556,454,1
0,2-Isobutanethiol,75661,455,1
0,2-Isopropyl-6-methylphenyl isocyanate,75332,456,1
0,2-Mercaptobutane,513531,457,1
0,2-Mercaptopropane,75332,458,1
0,2-Methoxy-1-propene,116110,459,1
0,2-Methoxy-2-methylpropane,1634044,460,1
0,2-Methoxypropane,598538,461,1
0,2-Methoxypropene,116110,462,1
0,2-Methybutane-2-thiol,1679090,463,1
0,2-Methyl butanol-1,137326,464,1
0,2-Methyl oxirane,75569,465,1
0,"2-Methyl-1,2-propanediamine",811938,466,1
0,"2-Methyl-1,3-butadiene",78795,467,1
0,"2-Methyl-1,3-dioxacyclopentane",497267,468,1
0,"2-Methyl-1,3-dioxolane",497267,469,1
0,2-Methyl-1-Aminopropane,78819,470,1
0,2-Methyl-1-butanethiol,1878188,471,1
0,2-Methyl-1-butanol,137326,472,1
0,2-Methyl-1-buten-3-yne,78808,473,1
0,2-Methyl-1-butene,563462,474,1
0,2-Methyl-1-butenyne,78808,475,1
0,2-Methyl-1-propanal,78842,476,1
0,2-Methyl-1-propanamine,78819,477,1
0,2-Methyl-1-propanethiol,513440,478,1
0,2-Methyl-1-propanol,78831,479,1
0,2-Methyl-1-propene,115117,480,1
0,2-Methyl-2-(methylthio)-propane,6163640,481,1
0,"2-Methyl-2,3-butadiene",598254,482,1
0,2-Methyl-2-aminopropane,75649,483,1
0,2-Methyl-2-butanethiol,1679090,484,1
0,2-Methyl-2-butene,513359,485,1
0,2-Methyl-2-chloropropane,507200,486,1
0,2-Methyl-2-methoxypropane,1634044,487,1
0,2-Methyl-2-oxazoline,1120645,488,1
0,2-Methyl-2-propanamine,75649,489,1
0,2-Methyl-2-Propanethiol,75661,490,1
0,2-Methyl-2-propanol,75650,491,1
0,2-Methyl-2-propyl chloride,507200,492,1
0,2-Methyl-2-propylamine,75649,493,1
0,2-Methyl-3-thiapentane,5145993,494,1
0,"2-Methyl-4,5-dihydrofuran",1487156,495,1
0,2-Methyl-4-butanethiol,541311,496,1
0,2-Methyl-4-butanol,123513,497,1
0,2-Methylacrylamide,79390,498,1
0,2-Methylbut-1-en-3-yne,78808,499,1
0,2-Methylbut-2-ene,513359,500,1
0,2-Methylbut-2-yl radical,4348350,501,1
0,"2-Methylbuta-1,3-diene",78795,502,1
0,2-Methylbutadiene,78795,503,1
0,2-Methylbutane,78784,504,1
0,2-Methylbutanenitrile,18936179,505,1
0,2-Methylbutanol,137326,506,1
0,2-Methylbutene-1,563462,507,1
0,2-Methylbutenyne,78808,508,1
0,2-Methylbutyl alcohol,137326,509,1
0,2-Methylbutyronitrile,18936179,510,1
0,2-Methyldioxolane,497267,511,1
0,"2,3-Dihydro-5-methylfuran",1487156,512,1
0,"2,3-Dihydrofuran",1191997,513,1
0,"2,3-Dihydropyran",110872,514,1
0,"2,3-Dihydrothiirene",420122,515,1
0,"2,3-Dihydrothiophene",1120598,516,1
0,"2,3-Diketobutane",431038,517,1
0,"2,3-Dimethyl-1-butene",563780,518,1
0,"2,3-Dimethyl-2-butene",563791,519,1
0,"2,3-Dimethylbut-2-ene",563791,520,1
0,"2,3-Dimethylbutane",79298,521,1
0,"2,3-Dimethylbutene-1",563780,522,1
0,"2,3-Dimethylbutene-2",563791,523,1
0,"2,3-Dioxobutane",431038,524,1
0,"2,3-Dithiabutane",624920,525,1
0,"2,3-Epoxypropane",75569,526,1
0,"2,3-Epoxypropyl chloride",106898,527,1
0,"2,3-Pentadiene",591968,528,1
0,"2,3-Propanediol",57556,529,1
0,"2,4-Dioxapentane",109875,530,1
0,"2,4-Hexadiene, (E,E)-",5194514,531,1
0,"2,4-Hexadiene, (E,Z)-",5194503,532,1
0,"2,4-Hexadiene, (Z,Z)-",6108618,533,1
0,"2,4-Hexadiyne",2809690,534,1
0,"2,5-Dihydrothiophene",1708323,535,1
0,"2,5-Dioxahexane",110714,536,1
0,2-AB,13952846,537,1
0,2-Acetylpropane,563804,538,1
0,2-Amino-2-Methylpropane,75649,539,1
0,2-Aminobutane,13952846,540,1
0,2-Aminobutane base,13952846,541,1
0,2-Aminoisobutane,75649,542,1
0,2-Amino-propaan,75310,543,1
0,2-Aminopropan,75310,544,1
0,2-Aminopropane,75310,545,1
0,2-Amino-propano,75310,546,1
0,2-Butanamine,13952846,547,1
0,2-Butanethiol,513531,548,1
0,"2-Butanethiol, 2-methyl-",1679090,549,1
0,"2-Butanethiol, 3-methyl-",2084186,550,1
0,"2-Butanol, (.+/-.)-",15892236,551,1
0,"2-Butanol, 3-methyl-",598754,552,1
0,2-Butanone,78933,553,1
0,"2-Butanone, 3-methyl-",563804,554,1
0,2-Butenal,4170303,555,1
0,"2-Butene, (E)-",624646,556,1
0,"2-Butene, (Z)-",590181,557,1
0,"2-Butene, 1-chloro-",591979,558,1
0,"2-Butene, 1-chloro-, (E)-",4894615,559,1
0,"2-Butene, 1-chloro-, (Z)-",4628211,560,1
0,"2-Butene, 2,3-dimethyl-",563791,561,1
0,"2-Butene, 2-methyl-",513359,562,1
0,"2-Butenedinitrile, (E)-",764421,563,1
0,"2-Butenenitrile, (E)-",627269,564,1
0,2-Butenyl chloride,591979,565,1
0,2-Butyl mercaptan,513531,566,1
0,2-Butyl radical,2348552,567,1
0,"2-Butyl radical, 2-methyl-",4348350,568,1
0,2-Butylamine,13952846,569,1
0,2-Butyne,503173,570,1
0,2-Butynedinitrile,1071983,571,1
0,2-Chloro-2-methylpropane,507200,572,1
0,2-Chloro-3-butene,563520,573,1
0,2-Chlorobutane,78864,574,1
0,2-Chlorodiethyl ether,628342,575,1
0,2-Chloroethoxyethane,628342,576,1
0,2-Chloroethyl ethyl ether,628342,577,1
0,2-Chloroisobutane,507200,578,1
0,2-Chloropropane,75296,579,1
0,2-Cyano-2-methylpropane,630182,580,1
0,2-Cyanobutane,18936179,581,1
0,2-Cyanoethylamine,151188,582,1
0,2-Cyanopropane,78820,583,1
0,2-Deoxyglycerol,504632,584,1
0,2-Ethoxyethyl chloride,628342,585,1
0,2-Ethyl-1-butene,760214,586,1
0,6480,96480,587,1
0,"(.+-.)-2,3-Dichlorobutane",2211678,588,1
0,"(.+/-.)-2,3-Dichlorobutane",2211678,589,1
0,(+)-3-Methyl-2-butanol,598754,590,1
0,(Chloromethyl)ethylene oxide,106898,591,1
0,(Chloromethyl)oxirane,106898,592,1
0,(DL)-&alpha;-Epichlorohydrin,106898,593,1
0,(E)-(CH3NO)2,37765154,594,1
0,"(E),(E)-CH3CH=CHCH=CHCH3",5194514,595,1
0,"(E),(Z)-CH3CH=CHCH=CHCH3",5194503,596,1
0,"(E)-1,2-Dichloroethene",156605,597,1
0,"(E)-1,2-Dichloroethylene",156605,598,1
0,"(E)-1,3,5-Hexatriene",821078,599,1
0,"(E)-1,3-Hexadiene",20237347,600,1
0,"(E)-1,3-Pentadiene",2004708,601,1
0,(E)-2-Butene,624646,602,1
0,(E)-2-Butenenitrile,627269,603,1
0,(E)-2-C4H8,624646,604,1
0,(E)-2-Pentene,646048,605,1
